accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
п'ятниця;Сихівський;Зубрівська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.796111;24.059823;1;0;1;0;0;2018;4;4;11;Львів;Наїзд на пішохода;Перевищення швидкості
вівторок;Франківський;Липнева;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.834194;24.002541;1;0;1;0;0;2018;4;1;14;Львів;Наїзд на пішохода;Порушення маневрування
четвер;Франківський;Стрийська;зіткнення бокове;порушення правил маневрування;4;49.788368;24.014159;1;0;1;2;0;2018;5;3;8;Львів;Зіткнення автомобілів;Порушення маневрування
неділя;Франківський;Боткіна С.;зіткнення бокове;порушення правил маневрування;2;49.8113;23.991179;1;0;1;0;1;2018;5;6;19;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Шевченківський;Чорновола В., просп.;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;3;49.862741;24.018227;1;0;2;0;0;2018;5;3;21;Львів;Наїзд на пішохода;Порушення маневрування
неділя;Галицький;Лепкого Б.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.841383;24.020458;1;0;1;0;0;2018;4;6;14;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Личаківський;Личаківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.839792;24.049984;1;0;0;1;0;2018;5;3;18;Львів;Наїзд на пішохода;Перевищення швидкості
п'ятниця;Шевченківський;Липинського В.;зіткнення бокове;перевищення безпечної швидкості , порушення правил маневрування;2;49.860258;24.026885;1;0;1;0;1;2018;5;4;23;Львів;Зіткнення автомобілів;Порушення маневрування
субота;Залізничний;Роксоляни;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.84724;23.963097;1;0;0;1;0;2018;5;5;0;Львів;Наїзд на пішохода;Порушення маневрування
неділя;Галицький;Стуса В.;наїзд на транспортний засіб, що стоїть - по ходу руху;перевищення безпечної швидкості;2;49.823961;24.037946;1;0;0;1;0;2018;5;6;16;Львів;Інше;Перевищення швидкості
