№ п/п;Область;Індекс дороги;Назва дороги;Початок ділянки км, м;Кінець ділянки км, м;GPS-координати, початок (широта/довгота);GPS-координати, кінець (широта/довгота);Протяжність ділянки, м;Кількість ДТП за три роки до взяття на облік;;;;;;
138;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);684+000 ;685+000;48.5644021,31.8600277;48.5584153,31.8701218;1000;4;;;;;;
139;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);685+000;686+000;48.5584153, 31.8701218;48.5532057,31.8811509;1000;3;;;;;;
140;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);700+100;701+000;48.5170813,32.0591012;48.5169765, 32.071259;900;4;;;;;;
141;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);702+000;703+000;48.5167175, 32.0847832;48.5173865,32.0982702;1000;4;;;;;;
142;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);713+200;714+185;48.5586205,32.1854275;48.5660219,32.1930262;985;3;;;;;;
143;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);718+000 ;718+936;48.5894409, 32.229627;48.5939739,32.2403153;936;4;;;;;;
144;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);724+000;724+600;48.5796313,32.2760166;48.574718,32.2788487;600;3;;;;;;
145;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);728+000;729+000;48.5494928,32.30468;48.5446837,32.3110581;1000;3;;;;;;
146;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);729+000 ;730+000;48.5446837,32.3110581;48.5490995,32.3228043;1000;5;;;;;;
147;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);766+001;766+209;48.736055, 32.6837508;48.735481,32.6850467;208;3;;;;;;
148;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);783+230 ;784+192;48.6786258,32.8791326;48.6757744,32.8911486;960;3;;;;;;
149;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);787+289;788+289;48.6730806, 32.9395606;48.6730806,32.9395606;1000;5;;;;;;
150;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);820+200;821+200;48.6277961,33.3347742;48.6233337,33.3465956;1000;3;;;;;;
151;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);650+001;650+370;48.5631461 31.43068335;48.56400887066666 31.435577066;369;3;;;;;;
152;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);768+001;769+001;48.72791209 32.70626946;48.72482032 32.71863891;1000;3;;;;;;
